Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5819.5,5889.2001953125,5819.5,5877.25,5877.25,0
2010-01-05,5898.9501953125,5923.25,5874.89990234375,5913.64990234375,5913.64990234375,0
2010-01-06,5913.89990234375,5922.14990234375,5816.5498046875,5824.89990234375,5824.89990234375,0
2010-01-07,5828.2001953125,5840.0498046875,5690.7998046875,5702.85009765625,5702.85009765625,0
2010-01-08,5694.7998046875,5694.7998046875,5599.2998046875,5607.89990234375,5607.89990234375,0
2010-01-11,5629.7001953125,5691.7998046875,5606.14990234375,5649.64990234375,5649.64990234375,0
2010-01-12,5741.64990234375,5897.0,5741.64990234375,5862.39990234375,5862.39990234375,0
2010-01-13,5866.5498046875,6082.5,5846.75,6075.7998046875,6075.7998046875,0
2010-01-14,6095.7001953125,6160.0,6004.85009765625,6105.2998046875,6105.2998046875,0
2010-01-15,6095.14990234375,6145.39990234375,6058.60009765625,6118.39990234375,6118.39990234375,0
2010-01-18,6131.75,6190.85009765625,6112.39990234375,6181.14990234375,6181.14990234375,0
2010-01-19,6175.25,6181.60009765625,6044.5498046875,6068.7001953125,6068.7001953125,0
2010-01-20,6108.9501953125,6123.2998046875,6024.10009765625,6052.39990234375,6052.39990234375,0
2010-01-21,6028.4501953125,6098.64990234375,5927.14990234375,5951.89990234375,5951.89990234375,0
2010-01-22,5951.9501953125,5951.9501953125,5814.60009765625,5874.60009765625,5874.60009765625,0
2010-01-25,5850.60009765625,5850.60009765625,5745.9501953125,5799.2998046875,5799.2998046875,0
2010-01-27,5753.64990234375,5767.89990234375,5577.5,5599.0,5599.0,0
2010-01-28,5639.7998046875,5729.2001953125,5572.0498046875,5649.35009765625,5649.35009765625,0
2010-01-29,5554.85009765625,5619.4501953125,5423.4501953125,5594.14990234375,5594.14990234375,0
2010-02-01,5543.5498046875,5739.5498046875,5477.9501953125,5643.4501953125,5643.4501953125,0
2010-02-02,5720.0498046875,5745.0,5561.7001953125,5586.7001953125,5586.7001953125,0
2010-02-03,5599.5498046875,5713.75,5599.5498046875,5698.85009765625,5698.85009765625,0
2010-02-04,5686.75,5686.75,5541.75,5565.9501953125,5565.9501953125,0
2010-02-05,5460.75,5510.60009765625,5401.5498046875,5449.75,5449.75,0
2010-02-08,5503.10009765625,5555.75,5387.9501953125,5484.64990234375,5484.64990234375,0
2010-02-09,5474.60009765625,5620.7998046875,5474.60009765625,5606.2998046875,5606.2998046875,0
2010-02-10,5616.7001953125,5654.0498046875,5563.64990234375,5573.4501953125,5573.4501953125,0
2010-02-11,5595.2001953125,5678.0498046875,5595.2001953125,5644.2001953125,5644.2001953125,0
2010-02-15,5669.89990234375,5698.85009765625,5630.0498046875,5667.0498046875,5667.0498046875,0
2010-02-16,5665.5,5767.7998046875,5642.25,5745.10009765625,5745.10009765625,0
2010-02-17,5779.7001953125,5798.25,5712.0498046875,5743.7998046875,5743.7998046875,0
2010-02-18,5745.7998046875,5785.5,5722.14990234375,5741.10009765625,5741.10009765625,0
2010-02-19,5701.7998046875,5758.2001953125,5686.25,5712.4501953125,5712.4501953125,0
2010-02-22,5759.5498046875,5815.7001953125,5740.89990234375,5752.7998046875,5752.7998046875,0
2010-02-23,5750.89990234375,5796.60009765625,5729.89990234375,5783.7998046875,5783.7998046875,0
2010-02-24,5744.25,5828.2998046875,5744.25,5779.75,5779.75,0
